,province,district,ur2012,weight,Consumption,s1q1,s1q3y,s1q13,s1q14,s3q4,s4aq6a,s4aq6b,s4aq8,s4aq9,s4aq11h,s4aq12,s4aq14,s4aq15,s4aq17,s4bq3,s4bq4,s4bq5,s6aq2
6508,Northern Province,Rulindo,Rural,24.61267996,113436.8438,Female,18,"Yes,but residing in onother household",Yes but residing in another household,No,Secondary 1,Secondary 2,Public,No problem,8000,Myself,,,,Yes,Yes,Yes,No
6516,Northern Province,Rulindo,Rural,24.61267996,233655.1094,Female,16,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 4,Primary 5,Public,No problem,1550,Mother,6,Poor health,,Yes,Yes,Yes,No
6520,Northern Province,Rulindo,Rural,24.61267996,244725.5781,Female,17,Dont know,Yes and resident in household,Yes,Primary 5,"Primary 6,7,8",Public,No problem,11500,Mother,6,Poor health,,Yes,Yes,Yes,No
6521,Northern Province,Rulindo,Rural,24.61267996,244725.5781,Male,14,Dont know,Yes and resident in household,Yes,Primary 3,Primary 4,Public,No problem,1000,Mother,,,,Yes,Yes,Yes,No
6522,Northern Province,Rulindo,Rural,24.61267996,244725.5781,Male,8,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Not in class,Public,No problem,3050,Mother,,,,,,,No
6528,Northern Province,Rulindo,Rural,24.61267996,227484.6719,Female,8,"Yes,but residing in onother household",Yes but residing in another household,No,Pre-primary,Primary 1,Public,No problem,6500,Mother,,,,,,,No
6529,Northern Province,Rulindo,Rural,24.61267996,227484.6719,Female,17,"Yes,but residing in onother household",Yes but residing in another household,No,"Primary 6,7,8","Primary 6,7,8",Public,No problem,1400,Both parents,7,Dropped out,Lack of family support,Yes,Yes,Yes,Yes
6536,Northern Province,Rulindo,Rural,24.61267996,260903.7813,Female,18,No,Yes and resident in household,No,Secondary 2,Secondary 3,Public,Poor buildings & equipment,,Mother,7,Other,,Yes,Yes,Yes,No
6537,Northern Province,Rulindo,Rural,24.61267996,260903.7813,Male,14,No,Yes and resident in household,No,Primary 2,Primary 3,Public,Poor buildings & equipment,,Mother,,,,Yes,Yes,Yes,No
6538,Northern Province,Rulindo,Rural,24.61267996,260903.7813,Female,12,No,Yes and resident in household,No,Primary 1,Primary 2,Public,Poor buildings & equipment,,Mother,,,,Yes,Yes,Yes,No
6547,Northern Province,Rulindo,Rural,25.06607143,203735.4688,Male,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,,,,,,,Lack of interest,No,,No,No
6548,Northern Province,Rulindo,Rural,25.06607143,203735.4688,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,,,,,,,Lack of interest,,,,No
6553,Northern Province,Rulindo,Rural,25.06607143,244081.8438,Female,16,No,Yes and resident in household,No,Not in class,Not in class,,,,,,,Cost,No,,No,Yes
6554,Northern Province,Rulindo,Rural,25.06607143,244081.8438,Male,11,No,Yes and resident in household,No,Not in class,Not in class,,,,,,,Cost,No,,No,No
6562,Northern Province,Rulindo,Rural,25.06607143,366042.5625,Male,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of family support,No,,No,Yes
6563,Northern Province,Rulindo,Rural,25.06607143,366042.5625,Male,16,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Not in class,Public,No problem,,Father,,,,No,,No,No
6564,Northern Province,Rulindo,Rural,25.06607143,366042.5625,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Father,1,Other,,Yes,Yes,Yes,No
6565,Northern Province,Rulindo,Rural,25.06607143,366042.5625,Male,8,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Father,,,,,,,No
6573,Northern Province,Rulindo,Rural,25.06607143,140183.0156,Male,18,Dont know,Yes and resident in household,No,Secondary 2,Secondary 3,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
6574,Northern Province,Rulindo,Rural,25.06607143,140183.0156,Male,12,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 2,Free Subsidized,No problem,,Mother,,,,Yes,Yes,Yes,No
6575,Northern Province,Rulindo,Rural,25.06607143,140183.0156,Male,9,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Primary 1,Free Subsidized,No problem,,Mother,,,,,,,No
6581,Northern Province,Rulindo,Rural,57.91346154,156402.6094,Male,12,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,No,,No,No
6582,Northern Province,Rulindo,Rural,57.91346154,156402.6094,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
6583,Northern Province,Rulindo,Rural,57.91346154,156402.6094,Male,8,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
6589,Northern Province,Rulindo,Rural,57.91346154,171977.0938,Male,12,No,Yes but residing in another household,No,Primary 3,Primary 3,Public,No problem,,Mother,,,,Yes,No,Yes,No
6596,Northern Province,Rulindo,Rural,57.91346154,264828.1875,Male,11,"Yes,but residing in onother household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
6597,Northern Province,Rulindo,Rural,57.91346154,264828.1875,Female,9,"Yes,but residing in onother household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,,,,,,,No
6604,Northern Province,Rulindo,Rural,57.91346154,79532.71875,Male,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
6610,Northern Province,Rulindo,Rural,57.91346154,259293.4375,Male,16,No,Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6611,Northern Province,Rulindo,Rural,57.91346154,259293.4375,Male,11,No,Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Mother,,,,No,,No,No
6615,Northern Province,Rulindo,Rural,57.91346154,421130.4688,Male,10,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 3,Public,Don't know,,Other household members,,,,No,,No,No
6622,Northern Province,Rulindo,Rural,57.91346154,183866.6563,Male,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
6623,Northern Province,Rulindo,Rural,57.91346154,183866.6563,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,No,,No,No
6624,Northern Province,Rulindo,Rural,57.91346154,183866.6563,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
6635,Northern Province,Rulindo,Rural,62.99358974,271527.3125,Female,10,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 1,Primary 1,Public,Mediocre teaching,,Father,,,,No,,No,No
6638,Northern Province,Rulindo,Rural,62.99358974,215845.6094,Female,11,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 1,Primary 2,Public,No problem,2500,Mother,1,Poor health,,No,,No,No
6645,Northern Province,Rulindo,Rural,62.99358974,325666.8438,Female,6,"Yes,but residing in onother household",Yes but residing in another household,Yes,,,,,,Other household members,,,,,,,No
6648,Northern Province,Rulindo,Rural,62.99358974,189671.7188,Female,18,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6649,Northern Province,Rulindo,Rural,62.99358974,189671.7188,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Father,,,,,,,No
6652,Northern Province,Rulindo,Rural,62.99358974,108573.625,Female,6,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
6659,Northern Province,Rulindo,Rural,62.99358974,318918.5,Male,16,No,Yes and resident in household,Yes,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6660,Northern Province,Rulindo,Rural,62.99358974,318918.5,Female,7,No,Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,5000,Other household members,1,Family circumstances,,,,,No
6667,Northern Province,Rulindo,Rural,62.99358974,191894.2813,Female,17,"Yes,and residing in the household",Yes and resident in household,No,"Primary 6,7,8",Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,No
6672,Northern Province,Rulindo,Rural,62.99358974,156881.3281,Female,18,No,Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of family support,Yes,Yes,Yes,Yes
6673,Northern Province,Rulindo,Rural,62.99358974,156881.3281,Male,18,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 3,Primary 4,Public,No problem,,Other household members,,,,Yes,Yes,Yes,No
6677,Northern Province,Rulindo,Rural,62.99358974,254350.375,Female,6,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Both parents,,,,,,,No
6684,Northern Province,Rulindo,Rural,77.21794872,378779.625,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,Yes,No,No,No
6685,Northern Province,Rulindo,Rural,77.21794872,378779.625,Female,8,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 1,Primary 2,Public,No problem,,Both parents,,,,,,,No
6686,Northern Province,Rulindo,Rural,77.21794872,378779.625,Female,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
6690,Northern Province,Rulindo,Rural,77.21794872,151122.0469,Female,18,Dont know,Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,3000,Mother,,,,Yes,Yes,Yes,No
6691,Northern Province,Rulindo,Rural,77.21794872,151122.0469,Male,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,2500,Both parents,,,,Yes,Yes,Yes,No
6692,Northern Province,Rulindo,Rural,77.21794872,151122.0469,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 3,Public,No problem,2500,Both parents,,,,Yes,Yes,Yes,No
6693,Northern Province,Rulindo,Rural,77.21794872,151122.0469,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,1200,Both parents,7,Financial Reasons,,,,,No
6694,Northern Province,Rulindo,Rural,77.21794872,151122.0469,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,4000,Both parents,,,,,,,No
6695,Northern Province,Rulindo,Rural,77.21794872,151122.0469,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,4000,Both parents,,,,,,,No
6700,Northern Province,Rulindo,Rural,77.21794872,558677.5,Male,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Not in class,,,,,,,Lack of interest,No,,No,No
6701,Northern Province,Rulindo,Rural,77.21794872,558677.5,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
6702,Northern Province,Rulindo,Rural,77.21794872,558677.5,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Pre-primary,Public,No problem,,Both parents,,,,No,,No,No
6703,Northern Province,Rulindo,Rural,77.21794872,558677.5,Female,7,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Pre-primary,Public,No problem,,Both parents,,,,,,,No
6709,Northern Province,Rulindo,Rural,77.21794872,166536.0781,Female,15,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,No,No
6710,Northern Province,Rulindo,Rural,77.21794872,166536.0781,Male,6,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
6714,Northern Province,Rulindo,Rural,77.21794872,141917.5625,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,,,,No
6718,Northern Province,Rulindo,Rural,77.21794872,759765.8125,Male,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,Mediocre teaching,5000,Both parents,,,,Yes,Yes,Yes,No
6719,Northern Province,Rulindo,Rural,77.21794872,759765.8125,Male,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 4,Public,Other (specify),1000,Both parents,7,Dropped out,Other (Specify),Yes,Yes,No,No
6720,Northern Province,Rulindo,Rural,77.21794872,759765.8125,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,Mediocre teaching,4000,Both parents,,,,Yes,Yes,Yes,No
6721,Northern Province,Rulindo,Rural,77.21794872,759765.8125,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Public,Mediocre teaching,2000,Both parents,,,,,,,No
6727,Northern Province,Rulindo,Rural,77.21794872,188318.7344,Female,15,No,Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Mother,7,Financial Reasons,,Yes,Yes,Yes,No
6728,Northern Province,Rulindo,Rural,77.21794872,188318.7344,Male,13,No,Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
6731,Northern Province,Rulindo,Rural,77.21794872,354329.9375,Male,15,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 4,Primary 5,Public,No problem,4500,Mother,2,Poor health,,Yes,Yes,Yes,No
6732,Northern Province,Rulindo,Rural,77.21794872,354329.9375,Male,13,"Yes,but residing in onother household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,2700,Mother,,,,Yes,Yes,No,No
6733,Northern Province,Rulindo,Rural,77.21794872,354329.9375,Male,11,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 2,Primary 3,Public,No problem,2500,Mother,,,,No,,No,No
6734,Northern Province,Rulindo,Rural,77.21794872,354329.9375,Female,9,"Yes,but residing in onother household",Yes and resident in household,Yes,Primary 1,Primary 2,Public,No problem,2300,Mother,,,,,,,No
6740,Northern Province,Rulindo,Rural,77.21794872,852249.4375,Male,17,"Yes,and residing in the household",Yes and resident in household,No,"Primary 6,7,8",Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6741,Northern Province,Rulindo,Rural,77.21794872,852249.4375,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,,,,No,,No,No
6742,Northern Province,Rulindo,Rural,77.21794872,852249.4375,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
6747,Northern Province,Rulindo,Rural,27.29416667,328371.5313,Male,17,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,No
6748,Northern Province,Rulindo,Rural,27.29416667,328371.5313,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Father,7,Dropped out,Lack of interest,Yes,Yes,No,Yes
6749,Northern Province,Rulindo,Rural,27.29416667,328371.5313,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Father,,,,No,,No,No
6751,Northern Province,Rulindo,Rural,27.29416667,147533.7656,Male,8,"Yes,but residing in onother household",Yes but residing in another household,Yes,Not in class,Primary 1,Public,No problem,,Other relatives,,,,,,,No
6754,Northern Province,Rulindo,Rural,27.29416667,578357.4375,Male,8,Dont know,No,No,,,,,,,,,,,,,No
6760,Northern Province,Rulindo,Rural,27.29416667,223017.5469,Female,18,No,Yes and resident in household,Yes,Secondary 1,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6762,Northern Province,Rulindo,Rural,27.29416667,236377.7031,Female,11,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 3,Public,No problem,,Other household members,,,,Yes,Yes,Yes,No
6768,Northern Province,Rulindo,Rural,27.29416667,154645.7188,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,No,,No,No
6769,Northern Province,Rulindo,Rural,27.29416667,154645.7188,Male,7,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Both parents,,,,,,,No
6773,Northern Province,Rulindo,Rural,27.29416667,268784.8125,Female,14,"Yes,but residing in onother household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
6777,Northern Province,Rulindo,Rural,27.29416667,659885.25,Male,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,No,,No,Yes
6781,Northern Province,Gakenke,Rural,72.23614557,292076.7188,Female,9,"Yes,but residing in onother household",Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Mother,7,Dropped out,Cost,,,,No
6782,Northern Province,Gakenke,Rural,72.23614557,292076.7188,Male,6,"Yes,but residing in onother household",Yes and resident in household,No,,,,,,,,,,,,,No
6785,Northern Province,Gakenke,Rural,72.23614557,428754.75,Male,7,"Yes,but residing in onother household",Yes and resident in household,Yes,,,,,,Mother,,,,,,,No
6789,Northern Province,Gakenke,Rural,72.23614557,189362.0938,Female,18,No,Yes and resident in household,No,"Primary 6,7,8",Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6790,Northern Province,Gakenke,Rural,72.23614557,189362.0938,Female,14,No,Yes and resident in household,No,Primary 5,"Primary 6,7,8",,,,,,,Lack of interest,Yes,Yes,Yes,No
6795,Northern Province,Gakenke,Rural,72.23614557,241885.5625,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
6796,Northern Province,Gakenke,Rural,72.23614557,241885.5625,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
6797,Northern Province,Gakenke,Rural,72.23614557,241885.5625,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
6798,Northern Province,Gakenke,Rural,72.23614557,241885.5625,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Public,No problem,,Both parents,,,,,,,No
6802,Northern Province,Gakenke,Rural,72.23614557,101750.2031,Female,14,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Secondary 1,Free Subsidized,No problem,,Mother,7,Dropped out,Lack of interest,Yes,Yes,Yes,Yes
6803,Northern Province,Gakenke,Rural,72.23614557,101750.2031,Male,9,"Yes,but residing in onother household",Yes and resident in household,No,Primary 2,Primary 3,Free Subsidized,No problem,,Mother,,,,,,,No
6805,Northern Province,Gakenke,Rural,72.23614557,101750.2031,Male,10,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 3,Free Subsidized,No problem,,Other household members,,,,Yes,Yes,Yes,No
6808,Northern Province,Gakenke,Rural,72.23614557,239243.9375,Female,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Both parents,,,,Yes,No,No,No
6809,Northern Province,Gakenke,Rural,72.23614557,239243.9375,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
6813,Northern Province,Gakenke,Rural,72.23614557,175009.4844,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Free Subsidized,No problem,,Both parents,7,Dropped out,Cost,Yes,Yes,Yes,No
6814,Northern Province,Gakenke,Rural,72.23614557,175009.4844,Male,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 4,Primary 5,Free Subsidized,No problem,,Both parents,1,Family circumstances,,Yes,Yes,Yes,No
6815,Northern Province,Gakenke,Rural,72.23614557,175009.4844,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Both parents,,,,No,,No,No
6816,Northern Province,Gakenke,Rural,72.23614557,175009.4844,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
6820,Northern Province,Gakenke,Rural,72.23614557,475144.5938,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Free Subsidized,No problem,,Father,,,,No,,No,No
6821,Northern Province,Gakenke,Rural,72.23614557,475144.5938,Male,8,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Father,,,,,,,No
6829,Northern Province,Gakenke,Rural,72.23614557,763845.375,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,,,,No
6837,Northern Province,Gakenke,Rural,72.23614557,310639.5313,Female,18,"Yes,and residing in the household",Yes and resident in household,Yes,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6841,Northern Province,Gakenke,Rural,90.69949757,926167,Male,11,No,Yes but residing in another household,No,Not in class,Primary 1,Free Subsidized,No problem,,Other non-relatives,,,,No,,No,No
6842,Northern Province,Gakenke,Rural,90.69949757,926167,Female,8,No,Yes but residing in another household,No,Not in class,Primary 1,Free Subsidized,No problem,,Other non-relatives,,,,,,,No
6847,Northern Province,Gakenke,Rural,90.69949757,539139.6875,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 4,,,,,,,Lack of interest,No,,No,No
6848,Northern Province,Gakenke,Rural,90.69949757,539139.6875,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Both parents,,,,No,,No,No
6849,Northern Province,Gakenke,Rural,90.69949757,539139.6875,Male,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Free Subsidized,No problem,,Both parents,,,,,,,No
6851,Northern Province,Gakenke,Rural,90.69949757,620759.75,Female,7,Dont know,Yes and resident in household,No,Not in class,Not in class,Public,No problem,,Mother,,,,,,,No
6855,Northern Province,Gakenke,Rural,90.69949757,172164.1406,Female,18,"Yes,but residing in onother household",Yes and resident in household,No,Secondary 1,Secondary 2,Public,No problem,,Mother,,,,Yes,Yes,Yes,No
6861,Northern Province,Gakenke,Rural,90.69949757,580660.4375,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Pre-primary,Public,No problem,,Both parents,,,,,,,No
6866,Northern Province,Gakenke,Rural,90.69949757,115249.0938,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,No,,No,No
6867,Northern Province,Gakenke,Rural,90.69949757,115249.0938,Male,6,"Yes,and residing in the household",Yes and resident in household,No,,,,,,Both parents,,,,,,,No
6872,Northern Province,Gakenke,Rural,90.69949757,418788.5625,Male,15,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Father,1,Family circumstances,,Yes,Yes,Yes,No
6873,Northern Province,Gakenke,Rural,90.69949757,418788.5625,Female,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Public,No problem,,Father,1,Family circumstances,,Yes,Yes,Yes,No
6874,Northern Province,Gakenke,Rural,90.69949757,418788.5625,Male,10,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 1,Public,No problem,,Father,1,Family circumstances,,No,,No,No
6880,Northern Province,Gakenke,Rural,90.69949757,148348.25,Male,14,"Yes,and residing in the household",Yes and resident in household,Yes,Primary 4,Primary 4,Public,No problem,,Both parents,2,Family circumstances,,Yes,Yes,Yes,No
6881,Northern Province,Gakenke,Rural,90.69949757,148348.25,Male,12,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 2,Primary 2,Public,No problem,,Both parents,2,Family circumstances,,No,,No,No
6885,Northern Province,Gakenke,Rural,90.69949757,199591.5313,Female,14,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Free Subsidized,No problem,,Both parents,,,,No,,No,No
6886,Northern Province,Gakenke,Rural,90.69949757,199591.5313,Female,7,"Yes,and residing in the household",Yes and resident in household,No,Pre-primary,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
6889,Northern Province,Gakenke,Rural,90.69949757,819439.8125,Female,17,"Yes,and residing in the household",Yes and resident in household,No,Primary 5,"Primary 6,7,8",Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
6890,Northern Province,Gakenke,Rural,90.69949757,819439.8125,Male,10,"Yes,and residing in the household",Yes and resident in household,No,,,,,,,,,,No,,No,No
6891,Northern Province,Gakenke,Rural,90.69949757,819439.8125,Female,8,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Primary 1,Public,No problem,,Both parents,,,,,,,No
6896,Northern Province,Gakenke,Rural,90.69949757,106232.8828,Male,9,"Yes,but residing in onother household",Yes but residing in another household,No,Not in class,Primary 1,Public,No problem,,Other household members,,,,,,,No
6899,Northern Province,Gakenke,Rural,55.15567766,302267.375,Male,7,"Yes,but residing in onother household",Yes but residing in another household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Both parents,,,,,,,No
6901,Northern Province,Gakenke,Rural,55.15567766,291513.0313,Male,16,No,Yes but residing in another household,No,Not in class,Not in class,,,,,,,Health,Yes,No,No,No
6902,Northern Province,Gakenke,Rural,55.15567766,291513.0313,Female,15,No,Yes but residing in another household,No,"Primary 6,7,8",Secondary 1,Public,No problem,27000,Other household members,5,Holidays,,Yes,Yes,Yes,Yes
6904,Northern Province,Gakenke,Rural,55.15567766,299344.0313,Male,18,No,Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6905,Northern Province,Gakenke,Rural,55.15567766,299344.0313,Male,10,No,Yes and resident in household,No,Primary 2,Primary 2,Public,No problem,,Mother,,,,No,,No,No
6909,Northern Province,Gakenke,Rural,55.15567766,2005580.5,Male,15,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Other (Specify),No,,No,No
6910,Northern Province,Gakenke,Rural,55.15567766,2005580.5,Male,9,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Mother,,,,,,,No
6915,Northern Province,Gakenke,Rural,55.15567766,666687.5625,Male,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Not in class,,,,,,,Lack of interest,No,,No,Yes
6916,Northern Province,Gakenke,Rural,55.15567766,666687.5625,Male,7,"Yes,and residing in the household",Yes and resident in household,No,,,,,Missing,,,,,,,,No
6922,Northern Province,Gakenke,Rural,55.15567766,303781.8125,Male,18,"Yes,and residing in the household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,Yes,Yes,Yes,Yes
6923,Northern Province,Gakenke,Rural,55.15567766,303781.8125,Male,13,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Free Subsidized,No problem,,Both parents,,,,Yes,Yes,Yes,No
6924,Northern Province,Gakenke,Rural,55.15567766,303781.8125,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 2,Primary 3,Free Subsidized,No problem,,Both parents,,,,,,,No
6929,Northern Province,Gakenke,Rural,55.15567766,1208156.125,Male,12,"Yes,but residing in onother household",Yes and resident in household,No,Not in class,Not in class,,,,,,,Lack of interest,No,,No,Yes
6930,Northern Province,Gakenke,Rural,55.15567766,1208156.125,Female,10,"Yes,but residing in onother household",Yes and resident in household,No,Primary 1,Primary 1,Free Subsidized,No problem,,Mother,,,,No,,No,No
6938,Northern Province,Gakenke,Rural,55.15567766,1009517.5,Female,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Free Subsidized,No problem,,Both parents,,,,,,,No
6942,Northern Province,Gakenke,Rural,55.15567766,1146358.625,Female,11,"Yes,and residing in the household",Yes and resident in household,No,Primary 3,Primary 4,Public,No problem,,Both parents,,,,Yes,Yes,Yes,No
6943,Northern Province,Gakenke,Rural,55.15567766,1146358.625,Male,9,"Yes,and residing in the household",Yes and resident in household,No,Primary 1,Primary 2,Public,No problem,,Both parents,,,,,,,No
